"Horodateur","Provide us your anonymous identifier","Can you explain briefly, in your own words, what is a context-oriented system?","Can you briefly explain, in your own words, what is a context? Give an example.","Can you briefly explain what is a feature? Give an example.","Can you explain briefly the difference between the context-oriented programming paradigm and the feature-based context-oriented programming paradigm?"
"2020/09/29 6:25:31 PM UTC+1","Gandalf","Systems wich the response depends on their context","It can be the environment of the system, the time, the position of an event in a chain of events, etc","It is a specific action that the system can execute (i.e. an exemple of feature for a phone is the be able to make a phonecall)","In COP, it is made easier to change the course of action depending on the context, in FOCOP, each feature executes depending on the context."
"2020/09/29 6:26:01 PM UTC+1","RenéMagritte","Système repérant le contexte dans lequel il évolue et s'y adaptant.","Un contexte est l'environnement dans lequel évolue le système.
Exemple : Thermostat connecté tenant compte des températures intérieure et extérieure et des prévisions d'évolution de la météo.","Une possibilité offerte par une application.
Exemple : Augmenter ou diminuer la température.","Le context-oriented programming paradigm concerne les réactions de l'application dans son ensemble dans sa réaction au contexte, alors que le feature-based context-oriented programming paradigm se focalise sur la réaction d'une fonctionnalité en particulier en rapport avec son contexte."
"2020/09/29 7:15:43 PM UTC+1","Bambinos de l'Espace","It's a software that can behave differently depending of its environment.","It's everything that a software needs to work properly (OS, libraries, dependencies,...). For exemple, we need to have java installed to run a java written software.","It's an aspect of a software that satisfies a requirement. For exemple, a feature in a car might be to be able to turn on or off the headlights.","We don't know. Maybe context-oriented programming paradigm focuses on the main system while the feature one takes each feature and look at its own context ?"
"2020/09/29 8:17:25 PM UTC+1","chips","It is a system that responds to it's environment (light, temperature,...)","A context is a set of parameters that define the environment of a  program. For example, let's say we have an intelligent umbrella. The context for this umbrella is the weather; if it starts to rain, the umbrella will know it and remind you to take it with you","a feature is a task that your program can do. For example, in a car software, the cruise control is a feature from that program.","The feature based context oriented programming is context oriented programming with an intention of reusability, meaning that the software developed can be reused for different applications, typically for different cars with the ability to choose which features we want or do not want in the program, following the constraints."
"2020/09/29 8:54:44 PM UTC+1","BulldOzer","Un système qui peut s'adapter en fonction de son environnement","exemple : la batterie du téléphone et les conséquences que cela peut avoir par rapport à ses fonctionnalités","la luminosité réglable de l'écran est automatiquement réduite à 20% lorsque la batterie atteint un niveau ""critique"" (e.g 10%)","context-oriented : le système s'adapte en direct aux changements de son environnement
feature-based : le système est configurable mais figé une fois les features définies"
"2020/09/30 1:44:56 AM UTC+1","Neth","It is a system that can change its behaviour depending on the context in which it is in use","Some situation with specific characteristics. A phone that is put horizontally (the phone being on its side is the context). ","A feature is a characteristic of a system. ","The feature-based context-oriented programming paradigm also maps the context to the features which will be used in that context"
"2020/09/30 7:38:01 AM UTC+1","garfield","A system that changes based on context","Something that is exterior to the system but has an effect on it. For instance, the environment","Something that can be seen by the user","In the feature based context oriented programming, the features are chosen based on the context"
"2020/09/30 7:49:21 AM UTC+1","Les tintins de l'enfer","C'est un système qui est concentré sur les fonctionnalités au lieu d'action ou de ressource. Il se place du point de vue de l'utilisateur et non du programmeur.","C'est un environnement complexe qui est défini par des paramètres variés.","Une fonctionnalité importante pour le consommateur.","Non, ca nous semble être la même chose."
"2020/09/30 7:55:28 AM UTC+1","randomous ultima","this is a paradigm focus on the environment. it allows easily to create a application adapting to external context.  ","a context is a circumstance external to the application itself. For example, the position in the world is a context. When you drive in Belgium, you can see the sign in Km/h but in USA, it's in Mph. We can then imagine the indication adapting to the country where you are.","features are aspects of an application domain that is visible by the user. It describe a functionality for the application that the user can enjoy. An example would be a wishlist on a online shop. ","The feature-based context-oriented programming focus on the creation of internal features. It's very practical to create an application outside of context. However, it isn't specialized in external circumstance. To be able to do that more easily, you can use context-oriented programming. It allows better to adapt."
"2020/09/30 8:02:20 AM UTC+1","ilfautquonsenrappelle","it's a system that change dynamicly with every elements except inputs and outputs.","the environment of a system except the input and output. In case where we go out for a walk, the system will analyse the weather and the localisation to take the best path. ","It's a service that add something to the system. It can be optional or mandatory. In case of an e-shop, the feature could be the wishlist button that keeps for the user the product that he would like to buy later.  ","The feature has not to be part of the environment ."
"2020/09/30 9:33:43 AM UTC+1","Wayne07","Un contexte est plus puissant qu'un objet car il possède des informations sur tout ce qui l'entoure. Le contexte permet de réagir en fonction de l'environnement et de la situation dans laquelle se trouve un objet.","Le contexte correspond à toutes les informations entourant l'objet. Un objet est sujet à des modifications de son environnement et le contexte permet d'en tenir compte. Un parapluie intelligent va avoir une idée du temps qu'il fait dehors en contexte afin d'avertir son utilisateur de sa possible utilité.","Caractéristique visible par l'utilisateur. Une feature serait que le parapluie dise à ""voix haute"" à son utilisateur qu'il doit le prendre pour sortir.","Le paradigme feature-based représente l'ensemble des fonctionnalités que peut voir l'utilisateur dans l'application alors que le pradigme context-oriented "
